STATE/DATE,All UCC Till 06-Jun-2026,06-Jun-2026,May-2026,JAN-MAR 2026,2025,2021-2025
ANDAMAN & NICOBAR ISLANDS,64322,1,974,3452,12226,50937
ANDHRA PRADESH,12267497,263,177774,777909,2438310,8191128
APO (ARMY PERSONNEL),106499,0,2,2,18,102943
ARUNACHAL PRADESH,119573,11,2731,8849,28198,97400
ASSAM,5223129,94,63166,200939,708203,4573106
BIHAR,11475265,295,188286,697904,2306130,9404832
CHANDIGARH,529742,7,5434,19760,74415,325165
CHHATTISGARH,3177273,63,42743,155653,572398,2538105
DADRA & NAGAR HAVELI,106966,0,1519,5137,18259,81807
DAMAN & DIU,51384,0,609,2376,8250,37740
DELHI,11135303,178,128805,464398,1616042,7168788
GOA,505586,9,6105,22457,80155,334490
GUJARAT,22344072,261,215784,861739,3457473,14443963
HARYANA,8463047,128,104800,388661,1365615,6284766
HIMACHAL PRADESH,1579050,25,23214,90792,307547,1273709
JAMMU & KASHMIR,1426349,26,20001,84315,279152,1137894
JHARKHAND,4562155,100,66643,242389,844008,3476971
KARNATAKA,13945132,234,182916,694366,2367934,9500399
KERALA,6063496,151,92246,305166,1095131,3820329
LADAKH,11023,1,266,924,6001,9141
LAKHSWADEEP,5464,0,129,394,1497,4351
MADHYA PRADESH,13285533,239,168714,629611,2116314,10682707
MAHARASHTRA,43753675,611,484996,1579066,6119068,29670138
MANIPUR,269309,4,4970,16235,52533,208132
